ruta,bytes_antes,bytes_despues,bytes_ahorrados,dimensiones_antes,dimensiones_despues,calidad,estado
assets/productos/BEAUTY_CARE/fragancia_corporal/vive_beauty_body_splash/vive_beauty_body_splash_0.webp,111604,109256,2348,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/fragancia_corporal/vive_beauty_body_splash/vive_beauty_body_splash_1.webp,30752,28948,1804,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/fragancia_corporal/vive_beauty_body_splash/vive_beauty_body_splash_2.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vidan_dreams_kit_chispitas/vidan_dreams_kit_chispitas_0.webp,143612,140998,2614,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vidan_dreams_kit_chispitas/vidan_dreams_kit_chispitas_1.webp,36734,35652,1082,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vidan_dreams_kit_chispitas/vidan_dreams_kit_chispitas_3.webp,16712,16246,466,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vidan_dreams_kit_chispitas/vidan_dreams_kit_chispitas_4.webp,22992,22360,632,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vidan_dreams_kit_chispitas/vidan_dreams_kit_chispitas_5.webp,20360,19572,788,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_0.webp,131676,128058,3618,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_1.webp,21336,21036,300,800x991,800x991,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_2.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_3.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_4.webp,21336,21036,300,800x991,800x991,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_5.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_6.webp,21336,21036,300,800x991,800x991,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_7.webp,21336,21036,300,800x991,800x991,76,optimizada
assets/productos/BEAUTY_CARE/kit_corporal/vive_beauty_kit_corporal_match_perfecto/vive_beauty_kit_corporal_match_perfecto_8.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/labios/vogue_balsamo_kiss_producto_labial/vogue_balsamo_kiss_producto_labial_0.webp,117236,114936,2300,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/labios/vogue_balsamo_kiss_producto_labial/vogue_balsamo_kiss_producto_labial_1.webp,6016,5990,26,360x360,360x360,76,optimizada
